Event	ID	Name			Wwise Object Path	Notes
	760246352	AMB_Forest_Birds			\Forest\AMB_Forest_Birds	
	1081171197	Stop_Footsteps_Room_Carpet			\House\Stop_Footsteps_Room_Carpet	
	1739295053	SFX_Door			\House\SFX_Door	
	2226439152	Stop_Music_House			\House\Stop_Music_House	
	2433268977	Footsteps_House_Wood			\House\Footsteps_House_Wood	
	2678962602	AMB_House			\House\AMB_House	
	3567259750	SFX_Dik_Intro_Cinematique			\House\SFX_Dik_Intro_Cinematique	
	3574811899	Music_House			\House\Music_House	
	3739131574	SFX_Bed_Cover			\House\SFX_Bed_Cover	
	3983452719	Footsteps_House_Carpet			\House\Footsteps_House_Carpet	
	3983758741	SFX_Play_Console			\House\SFX_Play_Console	
	4209853719	SFX_Stairs_Room			\House\SFX_Stairs_Room	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2281470583	Music_Fade_Out_House			\Default Work Unit\Music_Fade_Out_House	
	3749487386	FS_RTPC			\Default Work Unit\FS_RTPC	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3729658	FS_W_H_14	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_H_14 [2022-11-22 213619]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Carpet\FS_W_H_14		61940
	5474161	FS_W_17	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_17 [2022-11-10 102831]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Wood\FS_W_17		84064
	87575895	SFX_Bed_Cover	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\SFX_Sleep_Time [2022-11-10 150926]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Bed\SFX_Bed_Cover		240064
	123417940	FS_W_14	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_14 [2022-11-10 102822]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Wood\FS_W_14		102064
	132043613	FS_W_H_16	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_H_16 [2022-11-22 213630]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Carpet\FS_W_H_16		70564
	240016342	AMB_House	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\AMB_House [2022-11-28 183026]_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\House\AMB_House		5760064
	310289398	FS_W_H_17	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_H_17 [2022-11-22 213631]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Carpet\FS_W_H_17		92316
	337230916	FS_W_06	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_06 [2022-11-10 102750]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Wood\FS_W_06		108064
	396332714	FS_W_03	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_03 [2022-11-10 102747]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Wood\FS_W_03		90064
	433463800	FS_W_07	E:\GAMEOFF2022\GAMEOFF2022_WWISE\.cache\Windows\SFX\FS_W_07 [2022-11-10 102755]_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\House\Footsteps\Footsteps_Room_Wood\FS_W_07		112564
